"","X.1","X","name","chamber","party","state","district","trump_score","trump_margin","predicted_score","trump_plus_minus"
"307",307,307,"Grace F. Napolitano","House"," D","CA","32",0.103,-0.389,0.129,-0.026
"308",308,308,"Debbie Dingell","House"," D","MI","12",0.152,-0.263,0.179,-0.028
"309",309,309,"Tom McClintock","House"," R","CA","4",0.909,0.147,0.937,-0.028
"310",310,310,"Don Young","House"," R","AK","0",0.909,0.147,0.937,-0.028
"311",311,311,"Julia Brownley","House"," D","CA","26",0.182,-0.219,0.212,-0.03
"312",312,312,"Brendan F. Boyle","House"," D","PA","13",0.121,-0.336,0.151,-0.03
"313",313,313,"Raja Krishnamoorthi","House"," D","IL","8",0.182,-0.217,0.213,-0.032
"314",314,314,"David N. Cicilline","House"," D","RI","1",0.152,-0.256,0.183,-0.032
"315",315,315,"Marcy Kaptur","House"," D","OH","9",0.161,-0.222,0.193,-0.032
"316",316,316,"Colleen Hanabusa","House"," D","HI","1",0.121,-0.326,0.154,-0.033
